iter	Passed	Remaining
809	2173	509
810	2174	506
811	2176	503
812	2177	500
813	2179	498
814	2181	495
815	2184	492
816	2186	489
817	2188	486
818	2189	483
819	2191	481
820	2192	478
821	2195	475
822	2197	472
823	2199	469
824	2200	466
825	2202	463
826	2203	460
827	2205	458
828	2206	455
829	2208	452
830	2210	449
831	2212	446
832	2213	443
833	2215	440
834	2216	438
835	2218	435
836	2219	432
837	2221	429
838	2222	426
839	2225	423
840	2227	421
841	2229	418
842	2230	415
843	2232	412
844	2233	409
845	2235	406
846	2236	404
847	2238	401
848	2243	399
849	2245	396
850	2247	393
851	2249	390
852	2251	387
853	2252	385
854	2254	382
855	2257	379
856	2259	376
857	2260	374
858	2262	371
859	2263	368
860	2265	365
861	2266	362
862	2268	360
863	2270	357
864	2273	354
865	2274	351
866	2276	349
867	2277	346
868	2279	343
869	2280	340
870	2281	337
871	2283	335
872	2285	332
873	2287	329
874	2289	327
875	2290	324
876	2292	321
877	2293	318
878	2295	315
879	2296	313
880	2298	310
881	2300	307
882	2302	305
883	2303	302
884	2305	299
885	2307	296
886	2308	294
887	2310	291
888	2311	288
889	2313	285
890	2317	283
891	2321	281
892	2323	278
893	2325	275
894	2326	272
895	2328	270
896	2333	267
897	2336	265
898	2338	262
899	2341	260
900	2344	257
901	2349	255
902	2351	252
903	2353	249
904	2355	247
905	2357	244
906	2366	242
907	2368	239
908	2370	237
909	2383	235
910	2386	233
911	2393	230
912	2409	229
913	2414	227
914	2417	224
915	2427	222
916	2429	219
917	2431	217
918	2433	214
919	2435	211
920	2437	209
921	2442	206
922	2445	204
923	2447	201
924	2448	198
925	2457	196
926	2459	193
927	2461	190
928	2463	188
929	2464	185
930	2466	182
931	2471	180
932	2475	177
933	2476	175
934	2478	172
935	2480	169
936	2483	166
937	2487	164
938	2489	161
939	2490	158
940	2492	156
941	2494	153
942	2496	150
943	2499	148
944	2501	145
945	2503	142
946	2505	140
947	2506	137
948	2508	134
949	2509	132
950	2512	129
951	2514	126
952	2516	124
953	2518	121
954	2519	118
955	2521	116
956	2522	113
957	2524	110
958	2525	107
959	2530	105
960	2531	102
961	2533	100
962	2534	97
963	2536	94
964	2537	92
965	2539	89
966	2540	86
967	2543	84
968	2545	81
969	2547	78
970	2548	76
971	2550	73
972	2552	70
973	2553	68
974	2555	65
975	2557	62
976	2560	60
977	2561	57
978	2563	54
979	2564	52
980	2566	49
981	2567	47
982	2569	44
983	2571	41
984	2573	39
985	2575	36
986	2576	33
987	2578	31
988	2579	28
989	2581	26
990	2582	23
991	2584	20
992	2585	18
993	2589	15
994	2591	13
995	2593	10
996	2594	7
997	2596	5
998	2598	2
999	2600	0
